Company,Category,Queue Number,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
Bridging the Gap for Women - Level Up with the Entrepreneur Residency ,Advanced Materials,123 since 0 Advanced Materials companies and 2 available judges,Larry Mastrovich -  - Fill-in. All interests are Medical Device/Diagnostics,Phil Calandra -  - Fill-in. All interests are B2B Digital/SaaS,"Ray Vanek -  - Fill-in. All interests are Agriculture, Manufacturing/Supply Chain, Energy/Defense/Environmental",John Bevan Annaloro -  - Fill-in. All interests are Medical Device/Diagnostics,"Maria Bailey -  - Fill-in. All interests are Manufacturing/Supply Chain, Commerce/Retail","Marty Curran -  - Fill-in. All interests are Manufacturing/Supply Chain, Energy/Defense/Environmental, Medical Device/Diagnostics","Pete Effler - Advanced Materials. All interests are B2B Digital/SaaS, Manufacturing/Supply Chain, Advanced Materials","Pat Lemieux -  - Fill-in. All interests are Medical Device/Diagnostics, Drug Development","Misha Shemyakin -  - Fill-in. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, Energy/Defense/Environmental","Jim Farrington -  - Fill-in. All interests are Drug Development, Medical Device/Diagnostics","Emily Stoler -  - Fill-in. All interests are Energy/Defense/Environmental, Medical Device/Diagnostics, Drug Development, B2C Physical Products"
JAM Solar,Energy/Defense/Environmental,112 since 4 Energy/Defense/Environmental companies and 22 available judges,"Raegen Siegfried - Energy/Defense/Environmental. All interests are Advanced Materials, Energy/Defense/Environmental","Paul Coletti - Energy/Defense/Environmental. All interests are Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Mike Belatti - Energy/Defense/Environmental. All interests are Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Marty Curran - Energy/Defense/Environmental. All interests are Manufacturing/Supply Chain, Energy/Defense/Environmental, Medical Device/Diagnostics","Neil Kane - Energy/Defense/Environmental. All interests are Advanced Materials, Commerce/Retail, Energy/Defense/Environmental","Emily Stoler - Energy/Defense/Environmental. All interests are Energy/Defense/Environmental, Medical Device/Diagnostics, Drug Development, B2C Physical Products","Jeffrey Heinichen - Energy/Defense/Environmental. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","William Harlan - Energy/Defense/Environmental. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Physical Products, Energy/Defense/Environmental","Martin Carrasco - Energy/Defense/Environmental. All interests are Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","Julie Moylan - Energy/Defense/Environmental. All interests are Medical Device/Diagnostics, Manufacturing/Supply Chain, B2C Physical Products, Drug Development, Energy/Defense/Environmental","Ray Vanek - Energy/Defense/Environmental. All interests are Agriculture, Manufacturing/Supply Chain, Energy/Defense/Environmental"
Mens et Manus,Energy/Defense/Environmental,122 since 3 Energy/Defense/Environmental companies and 10 available judges,"Aaron Wallace - Energy/Defense/Environmental. All interests are B2C Digital/Apps, Manufacturing/Supply Chain, Energy/Defense/Environmental","Raegen Siegfried - Energy/Defense/Environmental. All interests are Advanced Materials, Energy/Defense/Environmental","Paul Coletti - Energy/Defense/Environmental. All interests are Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Michael Jennings - Energy/Defense/Environmental. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, Energy/Defense/Environmental","Emily Stoler - Energy/Defense/Environmental. All interests are Energy/Defense/Environmental, Medical Device/Diagnostics, Drug Development, B2C Physical Products","Mieczyslaw Jodziewicz - Energy/Defense/Environmental. All interests are Commerce/Retail, Advanced Materials, B2C Physical Products, Energy/Defense/Environmental",Tom Winter - Energy/Defense/Environmental. All interests are Energy/Defense/Environmental,"Benjamin Saydah - Energy/Defense/Environmental. All interests are Energy/Defense/Environmental, Agriculture, Advanced Materials","Robert Fulton - Energy/Defense/Environmental. All interests are Agriculture, Energy/Defense/Environmental","Marty Curran - Energy/Defense/Environmental. All interests are Manufacturing/Supply Chain, Energy/Defense/Environmental, Medical Device/Diagnostics","Peter Rienks - Energy/Defense/Environmental. All interests are Energy/Defense/Environmental, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS"
Phone Panel Plus,Energy/Defense/Environmental,124 since 2 Energy/Defense/Environmental companies and 10 available judges,Brian Davis -  - Fill-in. All interests are B2B Digital/SaaS,Dom Gatto -  - Fill-in. All interests are Medical Device/Diagnostics,"Robert Fulton - Energy/Defense/Environmental. All interests are Agriculture, Energy/Defense/Environmental","Misha Shemyakin - Energy/Defense/Environmental. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, Energy/Defense/Environmental",Tom Winter - Energy/Defense/Environmental. All interests are Energy/Defense/Environmental,"John Gaither -  - Fill-in. All interests are Medical Device/Diagnostics, Manufacturing/Supply Chain, B2B Digital/SaaS, Drug Development","Ray Vanek - Energy/Defense/Environmental. All interests are Agriculture, Manufacturing/Supply Chain, Energy/Defense/Environmental",Phil Calandra -  - Fill-in. All interests are B2B Digital/SaaS,Sarah Shoemaker -  - Fill-in. All interests are ,Larry Mastrovich -  - Fill-in. All interests are Medical Device/Diagnostics,James Kelly -  - Fill-in. All interests are Medical Device/Diagnostics
Shining Innovation LLC,Energy/Defense/Environmental,128 since 1 Energy/Defense/Environmental companies and 6 available judges,John Bevan Annaloro -  - Fill-in. All interests are Medical Device/Diagnostics,"Raegen Siegfried - Energy/Defense/Environmental. All interests are Advanced Materials, Energy/Defense/Environmental","Jim Winkler -  - Fill-in. All interests are Drug Development, Medical Device/Diagnostics",Larry Mastrovich -  - Fill-in. All interests are Medical Device/Diagnostics,Brian Davis -  - Fill-in. All interests are B2B Digital/SaaS,"Richard Daniels -  - Fill-in. All interests are Commerce/Retail, Manufacturing/Supply Chain",Sarah Shoemaker -  - Fill-in. All interests are ,"Patrick Dolan -  - Fill-in. All interests are Commerce/Retail, Manufacturing/Supply Chain","Larry Augustin -  - Fill-in. All interests are B2B Digital/SaaS, Manufacturing/Supply Chain",Phil Calandra -  - Fill-in. All interests are B2B Digital/SaaS,Jason Sloan -  - Fill-in. All interests are Medical Device/Diagnostics
United Workers Government and Organizations News (UWGBO News),Energy/Defense/Environmental,132 since 0 Energy/Defense/Environmental companies and 0 available judges,James Kelly -  - Fill-in. All interests are Medical Device/Diagnostics,"Jim Winkler -  - Fill-in. All interests are Drug Development, Medical Device/Diagnostics",Sarah Shoemaker -  - Fill-in. All interests are ,"Raegen Siegfried - Energy/Defense/Environmental. All interests are Advanced Materials, Energy/Defense/Environmental","Pat Lemieux -  - Fill-in. All interests are Medical Device/Diagnostics, Drug Development"
G-Dustbin,Manufacturing/Supply Chain,131 since 0 Manufacturing/Supply Chain companies and 0 available judges,Sarah Shoemaker -  - Fill-in. All interests are ,"Ruben Moreno -  - Fill-in. All interests are Medical Device/Diagnostics, Commerce/Retail","Jim Winkler -  - Fill-in. All interests are Drug Development, Medical Device/Diagnostics","Pat Lemieux -  - Fill-in. All interests are Medical Device/Diagnostics, Drug Development","Ray Vanek - Manufacturing/Supply Chain. All interests are Agriculture, Manufacturing/Supply Chain, Energy/Defense/Environmental","Raegen Siegfried -  - Fill-in. All interests are Advanced Materials, Energy/Defense/Environmental",Tom Winter -  - Fill-in. All interests are Energy/Defense/Environmental,James Kelly -  - Fill-in. All interests are Medical Device/Diagnostics,Brian Davis -  - Fill-in. All interests are B2B Digital/SaaS
BioMarq,Medical Device/Diagnostics,58 since 8 Medical Device/Diagnostics companies and 37 available judges,"Matt VanderGoot - Medical Device/Diagnostics. All interests are Energy/Defense/Environmental, Medical Device/Diagnostics, B2C Physical Products, B2C Digital/Apps, B2B Digital/SaaS, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail","Khoa Huynh - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Drug Development, B2C Physical Products, Commerce/Retail","Ruben Moreno - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Commerce/Retail","Ted Kubala - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Manufacturing/Supply Chain, Advanced Materials, Energy/Defense/Environmental, B2B Digital/SaaS","Soraya Hernandez - Medical Device/Diagnostics. All interests are Agriculture, Commerce/Retail, Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Medical Device/Diagnostics, Drug Development, Energy/Defense/Environmental, Advanced Materials","Jeffrey Heinichen - Medical Device/Diagnostics. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials",John Bevan Annaloro - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"James Pink - Medical Device/Diagnostics. All interests are Manufacturing/Supply Chain, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Julie Rotolo - Medical Device/Diagnostics. All interests are Commerce/Retail, Agriculture, B2B Digital/SaaS, B2C Digital/Apps, B2C Physical Products, Medical Device/Diagnostics, Energy/Defense/Environmental","Jim Davis - Medical Device/Diagnostics. All interests are B2C Digital/Apps, Commerce/Retail, Agriculture, Manufacturing/Supply Chain, B2C Physical Products, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","Ryan Mitchell - Medical Device/Diagnostics. All interests are Manufacturing/Supply Chain, Drug Development, Medical Device/Diagnostics, B2B Digital/SaaS, B2C Digital/Apps, Energy/Defense/Environmental"
Duniven Dental - Making Improved Dental Instruments,Medical Device/Diagnostics,68 since 7 Medical Device/Diagnostics companies and 35 available judges,"James Pink - Medical Device/Diagnostics. All interests are Manufacturing/Supply Chain, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Peter Flood - Medical Device/Diagnostics. All interests are B2B Digital/SaaS, B2C Digital/Apps, Medical Device/Diagnostics, Commerce/Retail",Jason Sloan - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,Larry Mastrovich - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"Tom Marek - Medical Device/Diagnostics. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Steve Asiala - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Drug Development, Energy/Defense/Environmental, Commerce/Retail, Advanced Materials, B2C Physical Products, B2C Digital/Apps","Jim Winkler - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics",John Bevan Annaloro - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"Eric Wiechart - Medical Device/Diagnostics. All interests are B2C Physical Products, Drug Development, Medical Device/Diagnostics, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail","Paul Coletti - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Patrick McMahon - Medical Device/Diagnostics. All interests are Commerce/Retail, Advanced Materials, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental"
HexBR,Medical Device/Diagnostics,77 since 6 Medical Device/Diagnostics companies and 31 available judges,"Patrick McMahon - Medical Device/Diagnostics. All interests are Commerce/Retail, Advanced Materials, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Julie Moylan - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Manufacturing/Supply Chain, B2C Physical Products, Drug Development, Energy/Defense/Environmental",Larry Mastrovich - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"Jim Farrington - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics","Pat Lemieux - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Drug Development","Paul Coletti - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Eric Wiechart - Medical Device/Diagnostics. All interests are B2C Physical Products, Drug Development, Medical Device/Diagnostics, Manufacturing/Supply Chain, Advanced Materials, Commerce/Retail","James Pink - Medical Device/Diagnostics. All interests are Manufacturing/Supply Chain, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Jim Winkler - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics","Khoa Huynh - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Drug Development, B2C Physical Products, Commerce/Retail","Nicolas Schaettel - Medical Device/Diagnostics. All interests are B2B Digital/SaaS, Medical Device/Diagnostics"
histoimage,Medical Device/Diagnostics,102 since 5 Medical Device/Diagnostics companies and 25 available judges,"Jim Farrington - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics","Patrick McMahon - Medical Device/Diagnostics. All interests are Commerce/Retail, Advanced Materials, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Pat Lemieux - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Drug Development","Jim Winkler - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics",Jason Sloan - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"Paul Coletti - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Martin Carrasco - Medical Device/Diagnostics. All interests are Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","Ted Kubala - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Manufacturing/Supply Chain, Advanced Materials, Energy/Defense/Environmental, B2B Digital/SaaS",Dom Gatto - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"James Pink - Medical Device/Diagnostics. All interests are Manufacturing/Supply Chain, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","John Gaither - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Manufacturing/Supply Chain, B2B Digital/SaaS, Drug Development"
iMD Device (Incision Manipulation Deterrent Device),Medical Device/Diagnostics,106 since 4 Medical Device/Diagnostics companies and 21 available judges,"Paul Coletti - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Janet Wolff - Medical Device/Diagnostics. All interests are Commerce/Retail, Energy/Defense/Environmental, B2C Physical Products, Medical Device/Diagnostics","Tom Marek - Medical Device/Diagnostics. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental","Pat Lemieux - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Drug Development","Martin Carrasco - Medical Device/Diagnostics. All interests are Commerce/Retail, Advanced Materials, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental","Emily Stoler - Medical Device/Diagnostics. All interests are Energy/Defense/Environmental, Medical Device/Diagnostics, Drug Development, B2C Physical Products","Jim Farrington - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics",Larry Mastrovich - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,Jason Sloan - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"Bob Jank - Medical Device/Diagnostics. All interests are Manufacturing/Supply Chain, B2B Digital/SaaS, B2C Physical Products, Medical Device/Diagnostics, Energy/Defense/Environmental","Jeffrey Heinichen - Medical Device/Diagnostics. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials"
Luonnon,Medical Device/Diagnostics,117 since 3 Medical Device/Diagnostics companies and 14 available judges,"Ruben Moreno - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Commerce/Retail","Jeffrey Heinichen - Medical Device/Diagnostics. All interests are Commerce/Retail, Manufacturing/Supply Chain, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","James Pink - Medical Device/Diagnostics. All interests are Manufacturing/Supply Chain, Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials",Dom Gatto - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"Pat Lemieux - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics, Drug Development",Jason Sloan - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"Jim Farrington - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics",Larry Mastrovich - Medical Device/Diagnostics. All interests are Medical Device/Diagnostics,"Paul Coletti - Medical Device/Diagnostics. All interests are Drug Development, Medical Device/Diagnostics, Energy/Defense/Environmental, Advanced Materials","Nicolas Schaettel - Medical Device/Diagnostics. All interests are B2B Digital/SaaS, Medical Device/Diagnostics","Marty Curran - Medical Device/Diagnostics. All interests are Manufacturing/Supply Chain, Energy/Defense/Environmental, Medical Device/Diagnostics"
