Company,Category,Queue Number,# Judges,# Matching,# Fill-In,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
XSEED Properties,B2C Physical Products,131,10,10,0,Jeffrey Hebig,Rafeal Reyes,Amy Buchan Siegfried,Larry Arseniadis,Aaron Cleavinger,Nitesh Gudapati,Emily Stoler,Bob Jank,Jim Hunt,Tyler Hudson-Crimi
A Gluten Free Cottage Bakery ,Commerce/Retail,21,11,11,0,T. Drew Mitchell,Richard Daniels,Jason McCaherty,Ruben Moreno,Ellen Dutton,Austin Fazio,Thomas Jensen,Kerry McNeilly,Jay Breeden,Patrick McMahon,Jim Davis
Back in the Bend,Commerce/Retail,23,11,11,0,T. Drew Mitchell,Ruben Moreno,Jeffrey Hebig,Maria Bailey,Aaron Cleavinger,Larry Arseniadis,Tom Marek,Janet Wolff,Craig Chval,Jeffrey Heinichen,Jim Davis
Bike Basics,Commerce/Retail,25,11,11,0,Joe Mueller,Rudy Reyes Jr.,Maria Bailey,Richard Daniels,Ryan Olander,Aaron Cleavinger,Peter Rienks,David Brenner,Paul Miller,Patrick McMahon,Jim Davis
Call Me King Shoes,Commerce/Retail,26,11,11,0,T. Drew Mitchell,Ruben Moreno,Patrick Dolan,Amy Buchan Siegfried,Aaron Cleavinger,Larry Arseniadis,Nitesh Gudapati,Andreas Widmer,Martin Carrasco,Patrick McMahon,Matt VanderGoot
Children's Home Infusion Pharmacy,Commerce/Retail,29,11,11,0,Joe Mueller,Patrick Dolan,Joseph Anderson,Maria Bailey,Mike Delany,Mike Belatti,Nitesh Gudapati,Peter Rienks,Gordon Geraci,Martin Carrasco,Matt VanderGoot
Chopan - Sourdough Bakery,Commerce/Retail,32,11,11,0,Joe Mueller,Doon Wintz,Rudy Reyes Jr.,Maria Bailey,Theron Sarda,Larry Arseniadis,Janet Wolff,Shelley Simon,Craig Chval,Patrick McMahon,Matt VanderGoot
CoSAL,Commerce/Retail,35,11,11,0,Joe Mueller,Doon Wintz,Maria Bailey,Ruben Moreno,Mike Delany,Mike Belatti,Janet Wolff,Shelley Simon,Martin Carrasco,Patrick McMahon,Matt VanderGoot
Desi,Commerce/Retail,38,11,11,0,Joe Mueller,Rudy Reyes Jr.,Doon Wintz,Ruben Moreno,Ryan Olander,Mike Belatti,Nitesh Gudapati,Andreas Widmer,Patrick McMahon,John Schroeder,Matt VanderGoot
Enabler ,Commerce/Retail,41,11,11,0,Joe Mueller,Maria Bailey,Joseph Anderson,Patrick Dolan,Neil Kane,Mike Belatti,Colin Keeler,Andreas Widmer,John Schroeder,Martin Carrasco,Matt VanderGoot
Ezza Market ,Commerce/Retail,45,11,11,0,T. Drew Mitchell,Tiffany Tibbot,Jeffrey Hebig,Patrick Dolan,Mike Belatti,Chris Orenchuk,Colin Keeler,Mieczyslaw Jodziewicz,Jeffrey Heinichen,Martin Carrasco,Matt VanderGoot
Friends of Notre Dame,Commerce/Retail,48,11,11,0,Joe Mueller,Jeffrey Hebig,Tiffany Tibbot,Richard Daniels,Austin Fazio,BIll Rossiter,Justin Hintz,Michael Jennings,Alyssa Jank,Martin Carrasco,Matt VanderGoot
Frontier,Commerce/Retail,49,11,11,0,T. Drew Mitchell,Doon Wintz,Joseph Anderson,Larry Arseniadis,Neil Kane,Shelley Simon,Tom Marek,Khoa Huynh,Jay Breeden,Jeffrey Heinichen,Francis Williams
G. Grips,Commerce/Retail,52,11,11,0,T. Drew Mitchell,Rudy Reyes Jr.,Ruben Moreno,Austin Fazio,Dhiraj Mehra,BIll Rossiter,Mieczyslaw Jodziewicz,Michael Jennings,Evan Doney,Patrick McMahon,Francis Williams
GreenBaby,Commerce/Retail,56,11,11,0,Joe Mueller,Rudy Reyes Jr.,Ruben Moreno,Aaron Cleavinger,Theron Sarda,Nick Schappler,Peter Rienks,Mieczyslaw Jodziewicz,Evan Doney,John Schroeder,Scott Noble
Jetta’s sweet & salty kettle corn ,Commerce/Retail,60,11,11,0,Joe Mueller,Ruben Moreno,Amy Buchan Siegfried,Ellen Dutton,Larry Arseniadis,Justin Hintz,Mieczyslaw Jodziewicz,Khoa Huynh,Mike Ferrigno,John Schroeder,Scott Noble
Junior Changemakers,Commerce/Retail,63,11,11,0,T. Drew Mitchell,Jeffrey Hebig,Richard Daniels,Tim Kish,Ellen Dutton,Rita Zinn,Khoa Huynh,Kerry McNeilly,Jay Breeden,John Schroeder,Scott Noble
Legacy LLC,Commerce/Retail,69,11,11,0,T. Drew Mitchell,Richard Daniels,Joseph Anderson,Dhiraj Mehra,Theron Sarda,William O'Brien,Shelley Simon,Michael Jennings,Gordon Geraci,John Schroeder,Sean Murdock
Making the Shift,Commerce/Retail,73,11,11,0,Joe Mueller,Maria Bailey,Patrick Dolan,Mike Belatti,Ryan Olander,Thomas Jensen,Peter Rienks,Kerry McNeilly,Ed Daniels,Martin Carrasco,Sean Murdock
Manning Beverages LLC,Commerce/Retail,77,11,11,0,T. Drew Mitchell,Patrick Dolan,Richard Daniels,Gary Sobolewski,Ryan Olander,Craig Anderson,Nick Schappler,Mieczyslaw Jodziewicz,Jeffrey Heinichen,Martin Carrasco,Soraya Hernandez
Netic Nails,Commerce/Retail,79,11,11,0,T. Drew Mitchell,Doon Wintz,Patrick Dolan,Austin Fazio,Neil Kane,Kerry McNeilly,David Hemler,Janet Wolff,John Schroeder,Patrick McMahon,Soraya Hernandez
Project Shadow Band,Commerce/Retail,82,11,10,1,Richard Daniels,Amy Buchan Siegfried,Patrick Dolan,Mike Delany,Aaron Cleavinger,Peter Flood,Peter Rienks,Mieczyslaw Jodziewicz,Jay Breeden,Jeffrey Heinichen,John Bevan Annaloro - Fill-in
